Period,Total,Price Band,percentage
2013Q2 ,100,"$399,999 - $499,999",10
2013Q3 ,100,"$399,999 - $499,999",9
2013Q4 ,100,"$399,999 - $499,999",10
2014Q1 ,100,"$399,999 - $499,999",11
2014Q2 ,100,"$399,999 - $499,999",11
2014Q3 ,100,"$399,999 - $499,999",11
2014Q4 ,100,"$399,999 - $499,999",12
2015Q1 ,100,"$399,999 - $499,999",12
2015Q2 ,100,"$399,999 - $499,999",12
2015Q3 ,100,"$399,999 - $499,999",13
2015Q4 ,100,"$399,999 - $499,999",14
2016Q1 ,100,"$399,999 - $499,999",14
2016Q2 ,100,"$399,999 - $499,999",13
2016Q3 ,100,"$399,999 - $499,999",13
2016Q4 ,100,"$399,999 - $499,999",14
2017Q1 ,100,"$399,999 - $499,999",14
2017Q2 ,100,"$399,999 - $499,999",14
2017Q3 ,100,"$399,999 - $499,999",15
2017Q4 ,100,"$399,999 - $499,999",14
2018Q1 ,100,"$399,999 - $499,999",15
2018Q2 ,100,"$399,999 - $499,999",13
2018Q3 ,100,"$399,999 - $499,999",15
2018Q4 ,100,"$399,999 - $499,999",14
2019Q1 ,100,"$399,999 - $499,999",14
2019Q2 ,100,"$399,999 - $499,999",14
2019Q3 ,100,"$399,999 - $499,999",13
